"Tipo Vehículo","Capacidad en Centrimetros Cubicos","Tipo de Transmisión","Kilometros Recorridos","Tipo Combustible","Asientos","Consumo de Combustible en Kilometros por litro","Año Modelo","Valor de Reventa"
"Accord Sedán Híbrido","1199","Automatic","55374","Petrol","5","18.2","2018","30526"
"Accord Sedán Híbrido","1199","Manual","60000","Petrol","5","18.7","2016","30546"
"Accord Sedán Híbrido","1198","Manual","49293","Petrol","5","19.4","2012","29974"
"Accord Sedán Híbrido","1199","Manual","38362","Petrol","5","18.7","2017","30530"
"Accord Sedán Híbrido","1199","Manual","19929","Petrol","5","18.7","2015","30262"
"Accord Sedán Híbrido","1198","Manual","90000","Petrol","5","16","2011","30024"
"Accord Sedán Híbrido","1199","Manual","36923","Petrol","5","18.7","2018","30622"
"Accord Sedán Híbrido","1198","Manual","53510","Petrol","5","19.4","2013","30375"
"Accord Sedán Híbrido","1498","Manual","83296","Diesel","5","27.3","2015","30262"
"Accord Sedán Híbrido","1198","Manual","35001","Petrol","5","19.4","2015","30541"
"Accord Sedán Híbrido","1199","Manual","54256","Petrol","5","18.7","2016","30666"
"Accord Sedán Híbrido","1198","Manual","86084","Petrol","5","19.4","2012","29962"
"Accord Sedán Híbrido","1198","Manual","50000","Petrol","5","19.4","2012","30166"
"Accord Sedán Híbrido","1199","Manual","38693","Petrol","5","18.7","2016","30618"
"Accord Sedán Híbrido","1198","Manual","49580","Petrol","5","16","2010","29984"
"Accord Sedán Híbrido","1198","Manual","70123","Petrol","5","19.4","2014","30460"
"Accord Sedán Híbrido","1198","Automatic","56000","Petrol","5","16.5","2015","30397"
"Accord Sedán Híbrido","1198","Manual","90000","Petrol","5","19.4","2013","30529"
"Accord Sedán Híbrido","1198","Manual","50650","Petrol","5","19.4","2014","30290"
"Accord Sedán Híbrido","1498","Manual","66075","Diesel","5","27.3","2017","30572"
"Accord Sedán Híbrido","1199","Manual","47739","Petrol","5","18.7","2017","30537"
"Accord Sedán Híbrido","1199","Manual","88785","Petrol","5","18.7","2016","30394"
"Accord Sedán Híbrido","1198","Manual","35402","Petrol","5","19.4","2014","30200"
"Accord Sedán Híbrido","1198","Manual","36920","Petrol","5","19.4","2014","30110"
"Accord Sedán Híbrido","1199","Manual","82286","Petrol","5","18.7","2016","30498"
"Accord Sedán Híbrido","1198","Manual","50000","Petrol","5","16","2012","30418"
